--2021-04-24 18:19:29--  https://releases.ubuntu.com/20.04.2.0/ubuntu-20.04.2.0-desktop-amd64.iso
Resolving releases.ubuntu.com (releases.ubuntu.com)... 2001:67c:1562::28, 2001:67c:1360:8001::34, 2001:67c:1360:8001::33, ...
Connecting to releases.ubuntu.com (releases.ubuntu.com)|2001:67c:1562::28|:443... connected.
HTTP request sent, awaiting response... 200 OK
Length: 2877227008 (2,7G) [application/x-iso9660-image]
Saving to: ‘/dev/null’

264192K ........ ........ ........ ........ ........ ........  9% 6,79M 9m39s
267264K ........ ........ ........ ........ ........ ........  9% 4,58M 9m38s
270336K ........ ........ ........ ........ ........ ........  9% 4,96M 9m36s
273408K ........ ........ ........ ........ ........ ........  9% 3,65M 9m36s
276480K ........ ........ ........ ........ ........ ........  9% 4,98M 9m35s
279552K ........ ........ ........ ........ ........ ........ 10% 3,67M 9m35s
282624K ........ ........ ........ ........ ........ ........ 10% 6,41M 9m32s
285696K ........ ........ ........ ........ ........ ........ 10% 6,41M 9m30s
288768K ........ ........ ........ ........ ........ ........ 10% 5,28M 9m28s
291840K ........ ........ ........ ........ ........ ........ 10% 3,35M 9m29s
294912K ........ ........ ........ ........ ........ ........ 10% 10,3M 9m25s
297984K ........ ........ ........ ........ ........ ........ 10% 5,52M 9m23s
301056K ........ ........ ........ ........ ........ ........ 10% 4,04M 9m23s
304128K ........ ........ ........ ........ ........ ........ 10% 5,79M 9m21s
307200K ........ ........ ........ ........ ........ ........ 11% 4,76M 9m19s
310272K ........ ........ ........ ........ ........ ........ 11% 3,38M 9m20s
313344K ........ ........ ........ ........ ........ ........ 11% 7,44M 9m17s
316416K ........ ........ ........ ........ ........ ........ 11% 4,03M 9m17s
319488K ........ ........ ........ ........ ........ ........ 11% 5,81M 9m15s
322560K ........ ........ ........ ........ ........ ........ 11% 3,66M 9m16s
325632K ........ ........ ........ ........ ........ ........ 11% 4,70M 9m14s
328704K ........ ........ ........ ........ ........ ........ 11% 6,41M 9m12s
331776K ........ ........ ........ ........ ........ ........ 11% 4,20M 9m12s
334848K ........ ........ ........ ........ ........ ........ 12% 6,17M 9m10s
337920K ........ ........ ........ ........ ........ ........ 12% 5,37M 9m8s
340992K ........ ........ ........ ........ ........ ........ 12% 4,61M 9m7s
344064K ........ ........ ........ ........ ........ ........ 12% 5,03M 9m6s
347136K ........ ........ ........ ........ ........ ........ 12% 4,72M 9m5s
350208K ........ ........ ........ ........ ........ ........ 12% 4,73M 9m4s
353280K ........ ........ ........ ........ ........ ........ 12% 3,26M 9m5s
356352K ........ ........ ........ ........ ........ ........ 12% 6,78M 9m2s
359424K ........ ........ ........ ........ ........ ........ 12% 5,03M 9m1s
362496K ........ ........ ........ ........ ........ ........ 13% 4,61M 9m0s
365568K ........ ........ ........ ........ ........ ........ 13% 5,73M 8m59s
368640K ........ ........ ........ ........ ........ ........ 13% 4,88M 8m58s
371712K ........ ........ ........ ........ ........ ........ 13% 5,26M 8m56s
374784K ........ ........ ........ ........ ........ ........ 13% 5,29M 8m55s
377856K ........ ........ ........ ........ ........ ........ 13% 5,27M 8m53s
380928K ........ ........ ........ ........ ........ ........ 13% 3,67M 8m54s
384000K ........ ........ ........ ........ ........ ........ 13% 8,98M 8m51s
387072K ........ ........ ........ ........ ........ ........ 13% 4,15M 8m50s
390144K ........ ........ ........ ........ ........ ........ 13% 7,14M 8m48s
393216K ........ ........ ........ ........ ........ ........ 14% 4,23M 8m48s
396288K ........ ........ ........ ........ ........ ........ 14% 2,87M 8m49s
399360K ........ ........ ........ ........ ........ ........ 14% 11,9M 8m46s
402432K ........ ........ ........ ........ ........ ........ 14% 5,58M 8m45s
405504K ........ ........ ........ ........ ........ ........ 14% 3,78M 8m45s
408576K ........ ........ ........ ........ ........ ........ 14% 2,93M 8m46s
411648K ........ ........ ........ ........ ........ ........ 14% 6,27M 8m44s
414720K ........ ........ ........ ........ ........ ........ 14% 4,68M 8m43s
417792K ........ ........ ........ ........ ........ ........ 14% 8,16M 8m41s
