--2021-04-24 18:28:22--  https://releases.ubuntu.com/20.04.2.0/ubuntu-20.04.2.0-desktop-amd64.iso
Resolving releases.ubuntu.com (releases.ubuntu.com)... 91.189.91.123, 91.189.88.248, 91.189.88.247, ...
Connecting to releases.ubuntu.com (releases.ubuntu.com)|91.189.91.123|:443... connected.
HTTP request sent, awaiting response... 200 OK
Length: 2877227008 (2,7G) [application/x-iso9660-image]
Saving to: ‘/dev/null’

264192K ........ ........ ........ ........ ........ ........  9% 9,66M 7m50s
267264K ........ ........ ........ ........ ........ ........  9% 3,86M 7m51s
270336K ........ ........ ........ ........ ........ ........  9% 3,90M 7m52s
273408K ........ ........ ........ ........ ........ ........  9% 5,61M 7m52s
276480K ........ ........ ........ ........ ........ ........  9% 4,33M 7m52s
279552K ........ ........ ........ ........ ........ ........ 10% 7,65M 7m50s
282624K ........ ........ ........ ........ ........ ........ 10% 5,15M 7m49s
285696K ........ ........ ........ ........ ........ ........ 10% 6,10M 7m48s
288768K ........ ........ ........ ........ ........ ........ 10% 5,67M 7m47s
291840K ........ ........ ........ ........ ........ ........ 10% 3,99M 7m48s
294912K ........ ........ ........ ........ ........ ........ 10% 6,40M 7m47s
297984K ........ ........ ........ ........ ........ ........ 10% 5,67M 7m46s
301056K ........ ........ ........ ........ ........ ........ 10% 5,46M 7m45s
304128K ........ ........ ........ ........ ........ ........ 10% 4,12M 7m46s
307200K ........ ........ ........ ........ ........ ........ 11% 9,12M 7m43s
310272K ........ ........ ........ ........ ........ ........ 11% 4,81M 7m43s
313344K ........ ........ ........ ........ ........ ........ 11% 4,97M 7m43s
316416K ........ ........ ........ ........ ........ ........ 11% 8,23M 7m41s
319488K ........ ........ ........ ........ ........ ........ 11% 3,93M 7m42s
322560K ........ ........ ........ ........ ........ ........ 11% 10,0M 7m39s
325632K ........ ........ ........ ........ ........ ........ 11% 5,68M 7m38s
328704K ........ ........ ........ ........ ........ ........ 11% 3,16M 7m40s
331776K ........ ........ ........ ........ ........ ........ 11% 5,68M 7m40s
334848K ........ ........ ........ ........ ........ ........ 12% 5,69M 7m39s
337920K ........ ........ ........ ........ ........ ........ 12% 5,67M 7m38s
340992K ........ ........ ........ ........ ........ ........ 12% 5,68M 7m37s
344064K ........ ........ ........ ........ ........ ........ 12% 3,28M 7m39s
347136K ........ ........ ........ ........ ........ ........ 12% 10,1M 7m36s
350208K ........ ........ ........ ........ ........ ........ 12% 5,68M 7m35s
353280K ........ ........ ........ ........ ........ ........ 12% 4,53M 7m36s
356352K ........ ........ ........ ........ ........ ........ 12% 7,32M 7m34s
359424K ........ ........ ........ ........ ........ ........ 12% 5,38M 7m33s
362496K ........ ........ ........ ........ ........ ........ 13% 4,15M 7m34s
365568K ........ ........ ........ ........ ........ ........ 13% 5,54M 7m33s
368640K ........ ........ ........ ........ ........ ........ 13% 8,83M 7m31s
371712K ........ ........ ........ ........ ........ ........ 13% 4,07M 7m31s
