--2021-04-24 20:04:53--  https://releases.ubuntu.com/20.04.2.0/ubuntu-20.04.2.0-desktop-amd64.iso
Resolving releases.ubuntu.com (releases.ubuntu.com)... 91.189.88.247, 91.189.88.248, 91.189.91.123, ...
Connecting to releases.ubuntu.com (releases.ubuntu.com)|91.189.88.247|:443... connected.
HTTP request sent, awaiting response... 200 OK
Length: 2877227008 (2,7G) [application/x-iso9660-image]
Saving to: ‘/dev/null’

264192K ........ ........ ........ ........ ........ ........  9% 8,10M 9m42s
267264K ........ ........ ........ ........ ........ ........  9% 5,58M 9m40s
270336K ........ ........ ........ ........ ........ ........  9% 3,41M 9m41s
273408K ........ ........ ........ ........ ........ ........  9% 3,52M 9m42s
276480K ........ ........ ........ ........ ........ ........  9% 8,16M 9m38s
279552K ........ ........ ........ ........ ........ ........ 10% 3,26M 9m39s
282624K ........ ........ ........ ........ ........ ........ 10% 4,03M 9m39s
285696K ........ ........ ........ ........ ........ ........ 10% 9,13M 9m35s
288768K ........ ........ ........ ........ ........ ........ 10% 5,92M 9m33s
291840K ........ ........ ........ ........ ........ ........ 10% 2,99M 9m34s
294912K ........ ........ ........ ........ ........ ........ 10% 6,73M 9m32s
297984K ........ ........ ........ ........ ........ ........ 10% 3,49M 9m32s
301056K ........ ........ ........ ........ ........ ........ 10% 3,91M 9m32s
304128K ........ ........ ........ ........ ........ ........ 10% 6,13M 9m30s
307200K ........ ........ ........ ........ ........ ........ 11% 3,22M 9m31s
310272K ........ ........ ........ ........ ........ ........ 11% 7,80M 9m28s
313344K ........ ........ ........ ........ ........ ........ 11% 5,67M 9m26s
316416K ........ ........ ........ ........ ........ ........ 11% 3,18M 9m27s
319488K ........ ........ ........ ........ ........ ........ 11% 2,88M 9m29s
322560K ........ ........ ........ ........ ........ ........ 11% 9,39M 9m25s
325632K ........ ........ ........ ........ ........ ........ 11% 4,03M 9m25s
328704K ........ ........ ........ ........ ........ ........ 11% 4,11M 9m24s
331776K ........ ........ ........ ........ ........ ........ 11% 7,93M 9m21s
334848K ........ ........ ........ ........ ........ ........ 12% 3,89M 9m21s
337920K ........ ........ ........ ........ ........ ........ 12% 4,17M 9m21s
340992K ........ ........ ........ ........ ........ ........ 12% 8,57M 9m17s
344064K ........ ........ ........ ........ ........ ........ 12% 3,84M 9m17s
347136K ........ ........ ........ ........ ........ ........ 12% 7,12M 9m15s
350208K ........ ........ ........ ........ ........ ........ 12% 5,65M 9m13s
353280K ........ ........ ........ ........ ........ ........ 12% 3,69M 9m13s
356352K ........ ........ ........ ........ ........ ........ 12% 7,83M 9m10s
359424K ........ ........ ........ ........ ........ ........ 12% 5,64M 9m8s
362496K ........ ........ ........ ........ ........ ........ 13% 2,76M 9m10s
365568K ........ ........ ........ ........ ........ ........ 13% 6,13M 9m8s
368640K ........ ........ ........ ........ ........ ........ 13% 4,03M 9m8s
